source_question_index,id,variant_index,variant_id,is_original,question,source,outcome,resolved_at,paraphrase_method
4,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4,1,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4::1,False,"At the end of December 2025, will Anthropic have the second-best AI model?",polymarket,0,2025-12-31,pattern_will
4,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4,2,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4::2,False,Will Anthropic hold second place among AI models at the close of December 2025?,polymarket,0,2025-12-31,pattern_will
4,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4,3,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4::3,False,"By the end of December 2025, is Anthropic's AI model ranked second best?",polymarket,0,2025-12-31,pattern_will
4,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4,4,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4::4,False,Does Anthropic finish December 2025 with the second-best AI model?,polymarket,0,2025-12-31,pattern_will
5,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913,0,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913::0,True,Will OpenAI have the second best AI model at the end of December 2025?,polymarket,0,2025-12-31,original
5,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913,1,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913::1,False,"At the end of December 2025, will OpenAI have the second-best AI model?",polymarket,0,2025-12-31,pattern_will
5,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913,2,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913::2,False,Will OpenAI hold second place among AI models at the close of December 2025?,polymarket,0,2025-12-31,pattern_will
5,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913,3,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913::3,False,"By the end of December 2025, is OpenAI's AI model ranked second best?",polymarket,0,2025-12-31,pattern_will
5,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913,4,0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913::4,False,Does OpenAI finish December 2025 with the second-best AI model?,polymarket,0,2025-12-31,pattern_will
6,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6,0,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6::0,True,Will Google have the top AI model on December 31?,polymarket,1,2025-12-31,original
6,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6,1,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6::1,False,"On December 31, will Google hold the top AI model position?",polymarket,1,2025-12-31,pattern_will
6,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6,2,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6::2,False,Will Google be the company with the top AI model on December 31?,polymarket,1,2025-12-31,pattern_will
6,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6,3,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6::3,False,Does Google have the leading AI model as of December 31?,polymarket,1,2025-12-31,pattern_will
6,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6,4,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6::4,False,"By the December 31 check, is the top AI model from Google?",polymarket,1,2025-12-31,pattern_will
7,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61,0,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61::0,True,Will Moonshot have the best AI model for math at the end of 2025?,polymarket,0,2025-12-31,original
7,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61,1,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61::1,False,Will Moonshot finish 2025 with the top-performing math AI model?,polymarket,0,2025-12-31,pattern_will
7,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61,2,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61::2,False,Will Moonshot's AI model be the best for math by year-end 2025?,polymarket,0,2025-12-31,pattern_will
7,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61,3,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61::3,False,Does Moonshot finish 2025 with the top math-focused AI model?,polymarket,0,2025-12-31,pattern_will
7,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61,4,0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61::4,False,"By the end of 2025, is the best AI model for math from Moonshot?",polymarket,0,2025-12-31,pattern_will
8,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f,0,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f::0,True,Will xAI have the top AI model on December 31?,polymarket,0,2025-12-31,original
8,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f,1,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f::1,False,"On December 31, will xAI hold the top AI model position?",polymarket,0,2025-12-31,pattern_will
8,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f,2,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f::2,False,Will xAI be the company with the top AI model on December 31?,polymarket,0,2025-12-31,pattern_will
8,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f,3,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f::3,False,Does xAI have the leading AI model as of December 31?,polymarket,0,2025-12-31,pattern_will
8,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f,4,0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f::4,False,"By the December 31 check, is the top AI model from xAI?",polymarket,0,2025-12-31,pattern_will
9,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669,0,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669::0,True,Will Moonshot have the top AI model on December 31?,polymarket,0,2025-12-31,original
9,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669,1,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669::1,False,"On December 31, will Moonshot hold the top AI model position?",polymarket,0,2025-12-31,pattern_will
9,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669,2,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669::2,False,Will Moonshot be the company with the top AI model on December 31?,polymarket,0,2025-12-31,pattern_will
9,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669,3,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669::3,False,Does Moonshot have the leading AI model as of December 31?,polymarket,0,2025-12-31,pattern_will
9,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669,4,0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669::4,False,"By the December 31 check, is the top AI model from Moonshot?",polymarket,0,2025-12-31,pattern_will
10,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b,0,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b::0,True,Will Anthropic have the top AI model on December 31?,polymarket,0,2025-12-31,original
10,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b,1,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b::1,False,"On December 31, will Anthropic hold the top AI model position?",polymarket,0,2025-12-31,pattern_will
10,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b,2,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b::2,False,Will Anthropic be the company with the top AI model on December 31?,polymarket,0,2025-12-31,pattern_will
10,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b,3,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b::3,False,Does Anthropic have the leading AI model as of December 31?,polymarket,0,2025-12-31,pattern_will
10,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b,4,0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b::4,False,"By the December 31 check, is the top AI model from Anthropic?",polymarket,0,2025-12-31,pattern_will
11,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362,0,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362::0,True,Will NVIDIA (NVDA) close at $210–215 in 2025?,polymarket,0,2025-12-31,original
11,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362,1,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362::1,False,"On the final trading day of 2025, will NVIDIA (NVDA)'s official close be in the $210–215 range?",polymarket,0,2025-12-31,pattern_will
11,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362,2,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362::2,False,Does NVIDIA (NVDA)'s final 2025 official closing price fall in the $210–215 bracket?,polymarket,0,2025-12-31,pattern_will
11,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362,3,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362::3,False,Will NVIDIA (NVDA) end 2025 with a close in the $210–215 band?,polymarket,0,2025-12-31,pattern_will
11,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362,4,0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362::4,False,Is NVIDIA (NVDA)'s year-end 2025 close within the $210–215 range?,polymarket,0,2025-12-31,pattern_will
12,hQQPLApOcA,0,hQQPLApOcA::0,True,Half-Life 3 confirmed by EOY?,manifold,0,2025-12-30,original
12,hQQPLApOcA,1,hQQPLApOcA::1,False,Will Half-Life 3 be confirmed by the end of the year?,manifold,0,2025-12-30,special_case
12,hQQPLApOcA,2,hQQPLApOcA::2,False,"By EOY, will there be confirmation of Half-Life 3?",manifold,0,2025-12-30,special_case
12,hQQPLApOcA,3,hQQPLApOcA::3,False,Does Half-Life 3 receive confirmation before the year ends?,manifold,0,2025-12-30,special_case
12,hQQPLApOcA,4,hQQPLApOcA::4,False,Will the end of the year arrive with Half-Life 3 having been confirmed?,manifold,0,2025-12-30,special_case
13,D5o5fIGpQnjANdl2DxdU,0,D5o5fIGpQnjANdl2DxdU::0,True,Will there be a US recession by EOY2025?,manifold,0,2025-12-26,original
13,D5o5fIGpQnjANdl2DxdU,1,D5o5fIGpQnjANdl2DxdU::1,False,Will a US recession occur by EOY2025?,manifold,0,2025-12-26,special_case
13,D5o5fIGpQnjANdl2DxdU,2,D5o5fIGpQnjANdl2DxdU::2,False,"By EOY2025, will the US enter a recession?",manifold,0,2025-12-26,special_case
13,D5o5fIGpQnjANdl2DxdU,3,D5o5fIGpQnjANdl2DxdU::3,False,Does the US experience a recession by EOY2025?,manifold,0,2025-12-26,special_case
13,D5o5fIGpQnjANdl2DxdU,4,D5o5fIGpQnjANdl2DxdU::4,False,Is there a US recession on or before EOY2025?,manifold,0,2025-12-26,special_case
14,meteofrance_TEMPERATURE_celsius.81401.D,0,meteofrance_TEMPERATURE_celsius.81401.D::0,True,What is the probability that the daily average temperature at the French weather station at Saint-Laurent will be higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,original
14,meteofrance_TEMPERATURE_celsius.81401.D,1,meteofrance_TEMPERATURE_celsius.81401.D::1,False,What probability should be assigned to the daily average temperature at the French weather station at Saint-Laurent exceeding its {forecast_due_date} value on {resolution_date}?,dbnomics,0,2025-12-23,weather_temperature
14,meteofrance_TEMPERATURE_celsius.81401.D,2,meteofrance_TEMPERATURE_celsius.81401.D::2,False,How likely is it that the French weather station at Saint-Laurent records a higher daily average temperature on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
14,meteofrance_TEMPERATURE_celsius.81401.D,3,meteofrance_TEMPERATURE_celsius.81401.D::3,False,"What is the chance that, at the French weather station at Saint-Laurent, the daily mean temperature on {resolution_date} is above the daily mean on {forecast_due_date}?",dbnomics,0,2025-12-23,weather_temperature
14,meteofrance_TEMPERATURE_celsius.81401.D,4,meteofrance_TEMPERATURE_celsius.81401.D::4,False,What probability corresponds to Saint-Laurent's French weather-station daily average temperature being higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
15,meteofrance_TEMPERATURE_celsius.78890.D,0,meteofrance_TEMPERATURE_celsius.78890.D::0,True,What is the probability that the daily average temperature at the French weather station at La Désirade will be higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,original
15,meteofrance_TEMPERATURE_celsius.78890.D,1,meteofrance_TEMPERATURE_celsius.78890.D::1,False,What probability should be assigned to the daily average temperature at the French weather station at La Désirade exceeding its {forecast_due_date} value on {resolution_date}?,dbnomics,0,2025-12-23,weather_temperature
15,meteofrance_TEMPERATURE_celsius.78890.D,2,meteofrance_TEMPERATURE_celsius.78890.D::2,False,How likely is it that the French weather station at La Désirade records a higher daily average temperature on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
15,meteofrance_TEMPERATURE_celsius.78890.D,3,meteofrance_TEMPERATURE_celsius.78890.D::3,False,"What is the chance that, at the French weather station at La Désirade, the daily mean temperature on {resolution_date} is above the daily mean on {forecast_due_date}?",dbnomics,0,2025-12-23,weather_temperature
15,meteofrance_TEMPERATURE_celsius.78890.D,4,meteofrance_TEMPERATURE_celsius.78890.D::4,False,What probability corresponds to La Désirade's French weather-station daily average temperature being higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
16,meteofrance_TEMPERATURE_celsius.07460.D,0,meteofrance_TEMPERATURE_celsius.07460.D::0,True,What is the probability that the daily average temperature at the French weather station at Clermont-Ferrand Auvergne Airport will be higher on {resolution_date} than on {forecast_due_date}?,dbnomics,1,2025-12-23,original
16,meteofrance_TEMPERATURE_celsius.07460.D,1,meteofrance_TEMPERATURE_celsius.07460.D::1,False,What probability should be assigned to the daily average temperature at the French weather station at Clermont-Ferrand Auvergne Airport exceeding its {forecast_due_date} value on {resolution_date}?,dbnomics,1,2025-12-23,weather_temperature
16,meteofrance_TEMPERATURE_celsius.07460.D,2,meteofrance_TEMPERATURE_celsius.07460.D::2,False,How likely is it that the French weather station at Clermont-Ferrand Auvergne Airport records a higher daily average temperature on {resolution_date} than on {forecast_due_date}?,dbnomics,1,2025-12-23,weather_temperature
16,meteofrance_TEMPERATURE_celsius.07460.D,3,meteofrance_TEMPERATURE_celsius.07460.D::3,False,"What is the chance that, at the French weather station at Clermont-Ferrand Auvergne Airport, the daily mean temperature on {resolution_date} is above the daily mean on {forecast_due_date}?",dbnomics,1,2025-12-23,weather_temperature
16,meteofrance_TEMPERATURE_celsius.07460.D,4,meteofrance_TEMPERATURE_celsius.07460.D::4,False,What probability corresponds to Clermont-Ferrand Auvergne Airport's French weather-station daily average temperature being higher on {resolution_date} than on {forecast_due_date}?,dbnomics,1,2025-12-23,weather_temperature
17,meteofrance_TEMPERATURE_celsius.07335.D,0,meteofrance_TEMPERATURE_celsius.07335.D::0,True,What is the probability that the daily average temperature at the French weather station at Poitiers–Biard Airport will be higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,original
17,meteofrance_TEMPERATURE_celsius.07335.D,1,meteofrance_TEMPERATURE_celsius.07335.D::1,False,What probability should be assigned to the daily average temperature at the French weather station at Poitiers–Biard Airport exceeding its {forecast_due_date} value on {resolution_date}?,dbnomics,0,2025-12-23,weather_temperature
17,meteofrance_TEMPERATURE_celsius.07335.D,2,meteofrance_TEMPERATURE_celsius.07335.D::2,False,How likely is it that the French weather station at Poitiers–Biard Airport records a higher daily average temperature on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
17,meteofrance_TEMPERATURE_celsius.07335.D,3,meteofrance_TEMPERATURE_celsius.07335.D::3,False,"What is the chance that, at the French weather station at Poitiers–Biard Airport, the daily mean temperature on {resolution_date} is above the daily mean on {forecast_due_date}?",dbnomics,0,2025-12-23,weather_temperature
17,meteofrance_TEMPERATURE_celsius.07335.D,4,meteofrance_TEMPERATURE_celsius.07335.D::4,False,What probability corresponds to Poitiers–Biard Airport's French weather-station daily average temperature being higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
18,meteofrance_TEMPERATURE_celsius.07117.D,0,meteofrance_TEMPERATURE_celsius.07117.D::0,True,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,original
18,meteofrance_TEMPERATURE_celsius.07117.D,1,meteofrance_TEMPERATURE_celsius.07117.D::1,False,What probability should be assigned to the daily average temperature at the French weather station at Ploumanac'h exceeding its {forecast_due_date} value on {resolution_date}?,dbnomics,0,2025-12-23,weather_temperature
18,meteofrance_TEMPERATURE_celsius.07117.D,2,meteofrance_TEMPERATURE_celsius.07117.D::2,False,How likely is it that the French weather station at Ploumanac'h records a higher daily average temperature on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
18,meteofrance_TEMPERATURE_celsius.07117.D,3,meteofrance_TEMPERATURE_celsius.07117.D::3,False,"What is the chance that, at the French weather station at Ploumanac'h, the daily mean temperature on {resolution_date} is above the daily mean on {forecast_due_date}?",dbnomics,0,2025-12-23,weather_temperature
18,meteofrance_TEMPERATURE_celsius.07117.D,4,meteofrance_TEMPERATURE_celsius.07117.D::4,False,What probability corresponds to Ploumanac'h's French weather-station daily average temperature being higher on {resolution_date} than on {forecast_due_date}?,dbnomics,0,2025-12-23,weather_temperature
19,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2,0,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2::0,True,"According to Wikipedia, will a vaccine have been developed for Human parainfluenza virus infection by {resolution_date}?",wikipedia,0,2025-12-23,original
19,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2,1,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2::1,False,"Using Wikipedia as the source, will there be a developed vaccine for Human parainfluenza virus infection by {resolution_date}?",wikipedia,0,2025-12-23,wiki_vaccine
19,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2,2,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2::2,False,Will Wikipedia document that a vaccine exists for Human parainfluenza virus infection by {resolution_date}?,wikipedia,0,2025-12-23,wiki_vaccine
19,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2,3,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2::3,False,Will Wikipedia indicate that a vaccine has been developed for Human parainfluenza virus infection no later than {resolution_date}?,wikipedia,0,2025-12-23,wiki_vaccine
19,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2,4,f495f943adc010fb48ec271d757e95f77287199ced09bd662bb0d361042b05d2::4,False,"As recorded on Wikipedia, has a vaccine for Human parainfluenza virus infection been developed by {resolution_date}?",wikipedia,0,2025-12-23,wiki_vaccine
20,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081,0,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081::0,True,"According to Wikipedia, will a vaccine have been developed for Tinea capitis (ringworm of the scalp) by {resolution_date}?",wikipedia,0,2025-12-23,original
20,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081,1,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081::1,False,"Using Wikipedia as the source, will there be a developed vaccine for Tinea capitis (ringworm of the scalp) by {resolution_date}?",wikipedia,0,2025-12-23,wiki_vaccine
20,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081,2,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081::2,False,Will Wikipedia document that a vaccine exists for Tinea capitis (ringworm of the scalp) by {resolution_date}?,wikipedia,0,2025-12-23,wiki_vaccine
20,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081,3,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081::3,False,Will Wikipedia indicate that a vaccine has been developed for Tinea capitis (ringworm of the scalp) no later than {resolution_date}?,wikipedia,0,2025-12-23,wiki_vaccine
20,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081,4,ee34f87f6d9a8d40de0c69aac8c86ef6e35278a05bbd8431cc1348f3313fc081::4,False,"As recorded on Wikipedia, has a vaccine for Tinea capitis (ringworm of the scalp) been developed by {resolution_date}?",wikipedia,0,2025-12-23,wiki_vaccine
